Feature,Category
ORIGIN_AIRPORT_ID,10322
ORIGIN_AIRPORT_ID,10324
ORIGIN_AIRPORT_ID,10329
ORIGIN_AIRPORT_ID,10333
ORIGIN_AIRPORT_ID,10338
ORIGIN_AIRPORT_ID,10349
ORIGIN_AIRPORT_ID,10357
ORIGIN_AIRPORT_ID,10361
ORIGIN_AIRPORT_ID,10372
ORIGIN_AIRPORT_ID,10386
ORIGIN_AIRPORT_ID,10394
ORIGIN_AIRPORT_ID,10396
ORIGIN_AIRPORT_ID,10397
ORIGIN_AIRPORT_ID,10405
ORIGIN_AIRPORT_ID,10408
ORIGIN_AIRPORT_ID,10409
ORIGIN_AIRPORT_ID,10411
ORIGIN_AIRPORT_ID,10414
ORIGIN_AIRPORT_ID,10415
ORIGIN_AIRPORT_ID,10416
ORIGIN_AIRPORT_ID,10423
ORIGIN_AIRPORT_ID,10431
ORIGIN_AIRPORT_ID,10434
ORIGIN_AIRPORT_ID,10444
ORIGIN_AIRPORT_ID,10448
ORIGIN_AIRPORT_ID,10466
ORIGIN_AIRPORT_ID,10469
ORIGIN_AIRPORT_ID,10470
ORIGIN_AIRPORT_ID,10486
ORIGIN_AIRPORT_ID,10517
ORIGIN_AIRPORT_ID,10521
ORIGIN_AIRPORT_ID,10529
ORIGIN_AIRPORT_ID,10535
ORIGIN_AIRPORT_ID,10540
ORIGIN_AIRPORT_ID,10542
ORIGIN_AIRPORT_ID,10545
ORIGIN_AIRPORT_ID,10551
ORIGIN_AIRPORT_ID,10556
ORIGIN_AIRPORT_ID,10557
ORIGIN_AIRPORT_ID,10558
ORIGIN_AIRPORT_ID,10559
ORIGIN_AIRPORT_ID,10561
ORIGIN_AIRPORT_ID,10562
ORIGIN_AIRPORT_ID,10568
ORIGIN_AIRPORT_ID,10570
ORIGIN_AIRPORT_ID,10575
ORIGIN_AIRPORT_ID,10577
ORIGIN_AIRPORT_ID,10581
ORIGIN_AIRPORT_ID,10589
ORIGIN_AIRPORT_ID,10590
ORIGIN_AIRPORT_ID,10599
ORIGIN_AIRPORT_ID,10608
ORIGIN_AIRPORT_ID,10613
ORIGIN_AIRPORT_ID,10617
ORIGIN_AIRPORT_ID,10620
ORIGIN_AIRPORT_ID,10621
ORIGIN_AIRPORT_ID,10627
ORIGIN_AIRPORT_ID,10631
ORIGIN_AIRPORT_ID,10638
ORIGIN_AIRPORT_ID,10640
ORIGIN_AIRPORT_ID,10643
ORIGIN_AIRPORT_ID,10654
ORIGIN_AIRPORT_ID,10658
ORIGIN_AIRPORT_ID,10661
ORIGIN_AIRPORT_ID,10666
ORIGIN_AIRPORT_ID,10674
ORIGIN_AIRPORT_ID,10676
ORIGIN_AIRPORT_ID,10683
ORIGIN_AIRPORT_ID,10685
ORIGIN_AIRPORT_ID,10693
ORIGIN_AIRPORT_ID,10696
ORIGIN_AIRPORT_ID,10711
ORIGIN_AIRPORT_ID,10713
ORIGIN_AIRPORT_ID,10716
ORIGIN_AIRPORT_ID,10717
ORIGIN_AIRPORT_ID,10721
ORIGIN_AIRPORT_ID,10728
ORIGIN_AIRPORT_ID,10731
ORIGIN_AIRPORT_ID,10732
ORIGIN_AIRPORT_ID,10739
ORIGIN_AIRPORT_ID,10744
ORIGIN_AIRPORT_ID,10747
ORIGIN_AIRPORT_ID,10752
ORIGIN_AIRPORT_ID,10754
ORIGIN_AIRPORT_ID,10758
ORIGIN_AIRPORT_ID,10770
ORIGIN_AIRPORT_ID,10775
ORIGIN_AIRPORT_ID,10779
ORIGIN_AIRPORT_ID,10781
ORIGIN_AIRPORT_ID,10783
ORIGIN_AIRPORT_ID,10785
ORIGIN_AIRPORT_ID,10790
ORIGIN_AIRPORT_ID,10792
ORIGIN_AIRPORT_ID,10800
ORIGIN_AIRPORT_ID,10821
ORIGIN_AIRPORT_ID,10846
ORIGIN_AIRPORT_ID,10849
ORIGIN_AIRPORT_ID,10868
ORIGIN_AIRPORT_ID,10872
ORIGIN_AIRPORT_ID,10874
ORIGIN_AIRPORT_ID,10877
ORIGIN_AIRPORT_ID,10878
ORIGIN_AIRPORT_ID,10910
ORIGIN_AIRPORT_ID,10911
ORIGIN_AIRPORT_ID,10916
ORIGIN_AIRPORT_ID,10917
